Publication Venue,Count
Visual Studies,1
Cadernos PAGU,1
Journal of American Ethnic History,1
Australian Journal of Human Rights,1
Crossings: Journal of Migration & Culture,1
Stichproben (19928610),1
Facta Universitatis-Philosophy,1
Anthropology Southern Africa (2332-3256),1
"SOCIAL WORK AND DIGITAL ACTIVISM: SORORITY, INTERSECTIONALITY, HOMOPHILY AND POLARISATION IN #METOO.",1
Open Political Science,1
Feminist Studies,1
Scottish Affairs,1
"Comunicación digital de los Colegios de Trabajo Social en España en las redes sociales online: ¿coalición, jerarquización o aislamiento?",1
Nova Religio: The Journal of Alternative & Emergent Religion,1
Youth (2673-995X),1
Journal of Social Research,1
Contexts: Understanding People in Their Social Worlds,1
TOTAL,1645
